district_area_name,2018,2019,2020,2021,2022,2023,2024,2025,longitude,latitude
Adlershof,2634,2620,2444,2606,2734,2646,2961,169,13.54128016329274,52.4349257
Albrechtstraße,4573,4775,4801,5053,5237,5149,5570,300,13.384108977059268,52.52276816124944
Alexanderplatz,12472,13010,11232,12519,13751,13832,14264,674,13.413635717448294,52.5219814
Allende-Viertel,1759,1938,1970,2103,2136,2118,2142,88,13.590632196611466,52.44418545
Alt-Hohenschönhausen,5433,5943,5858,6630,6800,6517,6697,337,13.5025491,52.5504091
Alt-Lichtenberg,4757,4932,4949,5465,5972,5782,5893,281,13.4950457,52.5196723
Alt-Reinickendorf,3852,3805,4008,4133,4362,4428,4237,230,13.3512427,52.5777843
Alt-Treptow,1705,1905,1695,1764,1819,1814,1754,80,13.4598743,52.4925634
Altglienicke,2504,2539,2753,2975,3080,3050,3171,154,13.5582554,52.4069533
Altstadt Köpenick,1031,1046,1029,1061,1127,1126,1107,47,13.5769665,52.4466938
Auguste-Viktoria-Allee,3386,3563,3679,3699,3779,4016,3980,198,13.32741065295409,52.5695587862445
Baumschulenweg,2549,2471,2583,2753,2878,2693,2721,155,13.4898621,52.4674002
Biesdorf,3392,3553,3654,4030,4228,4054,4200,185,13.5558463,52.5130873
Blankenburg,1784,1968,2008,2160,2224,2248,2239,116,13.4434822,52.5914655
Blankenfelde,2426,2687,2764,3002,3041,2788,2996,136,13.3884468,52.6186272
Bohnsdorf,1563,1723,1616,1903,2060,1994,2028,96,13.5706649,52.4022426
Borsigwalde,1837,1971,1812,2101,2187,2158,2138,86,13.3022741,52.5840624
Britz,5848,5817,6150,6212,6457,6578,6604,307,13.4423401,52.4483324
Brunnenstraße,8340,8219,8246,8303,9136,8874,9027,483,13.3912133,52.5443378
Brunsbütteler Damm,2415,2553,2589,2638,2730,2618,2681,138,13.13913746946702,52.53235903690844
Buch,2413,2696,2864,2773,3190,2868,2964,149,13.4916378,52.6358345
Buchholz,1507,1557,1693,1724,1858,1733,1823,90,13.44013355,52.60776505
Buckow,4859,5062,5020,5481,5379,5420,5558,294,13.4289504,52.4186619
Charlottenburg,3069,3000,2930,2954,3085,3141,3366,169,13.3045162,52.5050484
Dammvorstadt,1715,1896,1687,1657,2019,1754,1937,86,13.5766447,52.4549323
Drakestraße,4299,4623,4756,5012,5666,5189,5188,246,13.298652935700753,52.44118302948342
Falkenhagener Feld,5315,5330,5533,5934,6097,5611,5764,300,13.1668941,52.5524034
Fennpfuhl,4354,4330,4633,4715,5082,4739,4723,245,13.4734687,52.5287849
Frankfurter Allee,10082,10279,9595,10114,11326,10756,11371,518,13.4745707,52.5149375
Friedenau,4431,4445,4428,4838,5230,5060,5393,248,13.3415003,52.4707164
Friedrichsfelde,5340,5474,5634,6126,6199,6082,6528,337,13.5128387,52.5061644
Friedrichshagen,2291,2504,2433,2611,2829,2664,2686,138,13.6232934,52.4573763
Friedrichstadt,6777,7170,6570,6397,6937,7296,7301,368,13.3899039,52.5097492
Frohnau,3114,3117,3190,3447,3666,3462,3644,199,13.2902205,52.632409
Gatow,2022,1956,1867,2088,2264,2139,2218,130,13.1801341,52.4856409
Gropiusstadt,5238,5292,5368,5865,5979,5948,6193,334,13.466183,52.4249493
Grunewald,2451,2412,2379,2571,2741,2763,2772,158,13.23870853321047,52.460512800000004
Grünau,842,828,849,944,1113,1101,1257,52,13.5736378,52.4128789
Hakenfelde,3161,3218,3319,3648,3920,3873,3813,208,13.1967693,52.5609908
Halensee,3255,3301,3141,3313,3676,3642,3734,178,13.280318535075601,52.4940267
Haselhorst,2156,2179,2170,2312,2653,2560,2617,113,13.2330942,52.5387183
Heerstraße,6028,5923,6031,6121,6823,6414,6476,349,13.187454069965668,52.51492234137476
Heiligensee,2110,2218,2220,2261,2512,2502,2510,130,13.229194,52.6246647
Hellersdorf,9747,9660,10069,10664,11328,10980,11765,623,13.606672,52.5366883
Helmholtzplatz,1472,1344,1341,1413,1541,1428,1548,99,13.419032624098314,52.5430211
Johannisthal,2378,2271,2440,2716,2744,2653,2682,128,13.5235435,52.4469899
Karl-Marx-Allee,8088,8636,7940,8482,9638,9126,9317,423,13.440491003618227,52.51723488320064
Karlshorst,2277,2442,2390,2477,2645,2706,2784,161,13.527279,52.4804671
Karow,1533,1663,1595,1732,1881,1640,1730,91,13.4694647,52.6152148
Kaulsdorf,1955,1881,1933,1969,2359,2243,2328,129,13.5901922,52.5121351
Köllnische Heide,2591,2554,2466,2348,2602,2496,2590,105,13.4679658,52.4696457
Köllnische Vorstadt,1260,1298,1252,1307,1535,1344,1416,79,13.4154042,52.5129181
Köpenick,2710,2873,2966,2988,3275,3192,3094,148,13.5815192,52.458577
Lankwitz,4612,4653,4785,5278,5544,5475,5864,329,13.3420633,52.4387852
Lichtenrade,4925,5195,5299,5585,6144,5976,6289,314,13.3964496,52.3869393
Lietzenburger Straße,7360,7700,6511,6736,7854,7651,8303,386,13.340845377467991,52.499952280582114
Luisenstadt,6217,6375,6092,6193,6681,6805,7001,323,13.4184717,52.5066774
Mahlsdorf,2168,2254,2221,2312,2547,2492,2609,101,13.6104126,52.5120903
Malchow,603,599,606,651,815,766,708,53,13.4820928,52.5798667
Mariendorf,5937,6342,6548,6617,7121,7280,7289,347,13.3900277,52.44008
Marienfelde,4147,3973,4088,4284,4464,4478,4396,250,13.3746844,52.4242122
Marzahn,14854,14569,14845,16133,17087,16159,16982,829,13.5413545,52.5436548
Mierendorffplatz,1701,1684,1707,1753,1919,1985,2550,161,13.3047721,52.5263437
Moabit,12114,12358,12001,12730,14884,14141,14359,738,13.3425422,52.5301017
Märkisches Viertel,5442,5339,5346,5798,6104,5797,6008,313,13.3565324,52.5993123
Müggelheim,573,595,593,607,722,579,565,25,13.6619543,52.4121651
Neu-Hohenschönhausen,6664,6923,7120,7546,7640,7306,7547,417,13.514065,52.5663309
Neu-Lichtenberg,3265,3438,3409,3388,3500,3272,3407,190,13.514065,52.5663309
Neukölln,5386,5250,5393,5011,5701,5800,5848,305,13.4617649,52.4459669
Niederschöneweide,2146,2236,2183,2295,2571,2350,2500,114,13.5178766,52.4548197
Oberschöneweide,3096,3067,3112,3007,3305,3137,3216,133,13.5234762,52.4624563
Osloer Straße,4847,4691,4953,5203,5403,5177,5372,260,13.3732715,52.5571597
Ostpreußendamm,3878,4211,4149,4383,4662,4476,4825,237,13.3050102,52.4175359
Otto-Suhr-Allee,6789,6692,6450,6518,7072,7202,7353,375,13.301058735843249,52.51925042273567
Pankow,7508,7691,7711,8222,8411,7927,8288,441,13.436373975411648,52.597636699999995
Parkviertel,7428,7298,7337,7990,8107,7980,7971,429,,
Plänterwald,1414,1354,1439,1476,1650,1479,1551,71,13.4732395,52.4785887
Prenzlauer Berg,13167,13396,13368,14097,14926,14344,14679,731,13.4285652,52.5398466
Rahnsdorf,750,900,956,1132,1319,1061,1237,53,13.6899776,52.4516372
Regierungsviertel,4665,4703,3587,3700,4646,4925,5298,220,13.37643925,52.51930015
Reginhardstraße,3343,3373,3498,3483,3637,3924,3780,223,13.370241756010678,52.55997222271646
Reuterstraße,4407,4490,4660,4542,4834,4655,5038,254,13.429046889694549,52.49069760037551
Rixdorf,4973,5018,4796,4702,5009,4983,5164,236,13.4456092,52.4740949
Rollbergesiedlung,1216,1297,1186,1319,1339,1257,1288,83,13.334088541902368,52.60835185
Rudow,4226,4290,4567,4852,5282,5010,5129,293,13.4953978,52.41617
Rummelsburger Bucht,526,518,433,505,563,607,610,29,13.480558620853772,52.49382361416673
Schillerpromenade,4118,4080,4148,4336,4503,4250,4429,238,13.422183026559669,52.47612487350053
Schloss Charlottenburg,5042,5330,5039,5253,5621,5532,5579,332,13.292710351064521,52.5206424
Schloßstraße,2755,2855,2761,2815,3137,3016,3231,177,13.3250946,52.461481
Schmargendorf,3240,3477,3717,3679,4071,3916,4142,214,13.2929962,52.4789022
Schmöckwitz,339,484,499,523,559,496,476,32,13.6488551,52.3756651
Schöneberg,11860,12100,11793,12139,12857,12828,13906,611,13.3519181,52.4793491
Schönholz,1673,1733,1922,2066,2064,1967,1988,104,13.3809904,52.5715004
Siemensstadt,1730,1858,1797,1737,1952,1873,1839,75,13.2568934,52.5398082
Spandau,6278,6282,6126,6251,6741,6569,7004,403,13.181822451117332,52.519308
Tegel,5232,5309,4902,4421,5236,5561,5933,293,13.2896968,52.5881913
Teltower Damm,3765,3638,3695,4031,4206,4230,4456,214,13.259237299081159,52.43265502580931
Tempelhof,9582,9260,9070,9354,9914,9963,10385,508,13.3844457,52.4709704
Tempelhofer Vorstadt,7652,7746,7234,7498,8085,8164,8355,419,,
Tiergarten,3825,3888,3160,3284,3855,4094,4153,160,13.3364504,52.5143746
Volkspark Wilmersdorf,5461,5625,5630,5995,6242,5972,6364,328,13.325503473440428,52.48338525
Waidmannslust,4571,4829,4662,5565,5801,5540,5604,254,13.321194,52.6062718
Wedding,7660,7489,7755,8134,8292,8105,8244,419,13.3669996,52.5427866
Weißensee,5943,5939,6023,6521,6907,6742,6867,380,13.4630018,52.5546193
Westend,4630,4604,4243,4573,4784,4629,4765,242,13.2844201,52.5180135
Wilhelmstadt,5560,5521,5325,5258,5984,5760,6171,293,13.1914518,52.5139207
Zehlendorf,7331,7651,7792,8279,8973,8240,8519,400,13.2585888,52.4310735
